"","zip","Freq","city","state","latitude","longitude"
"1114","16055",1,"Sarver","PA",40.713078,-79.73603
"1115","16101",1,"New Castle","PA",40.992023,-80.32747
"1116","16105",1,"New Castle","PA",41.038205,-80.34539
"1117","16114",1,"Clarks Mills","PA",41.402438,-80.18346
"1118","16157",1,"Wampum","PA",40.889241,-80.34189
"1119","16159",1,"West Middlesex","PA",41.174066,-80.45319
"1120","16201",1,"Kittanning","PA",40.809467,-79.49922
"1121","16212",1,"Cadogan","PA",40.7532,-79.58296
"1122","16262",1,"Worthington","PA",40.839519,-79.65268
"1123","16803",1,"State College","PA",40.802661,-77.89936
"1124","16822",1,"Beech Creek","PA",41.092339,-77.60545
"1125","16833",1,"Curwensville","PA",40.948433,-78.55176
"1126","19095",1,"Wyncote","PA",40.08786,-75.14707
"1127","19930",1,"Bethany Beach","DE",38.536354,-75.06062
"1128","19933",1,"Bridgeville","DE",38.73635,-75.60807
"1129","19944",1,"Fenwick Island","DE",38.459314,-75.05356
"1130","19966",1,"Millsboro","DE",38.601355,-75.2411
"1131","19970",1,"Ocean View","DE",38.55044,-75.09928
"1132","19971",2,"Rehoboth Beach","DE",38.711512,-75.09677
"1133","19975",1,"Selbyville","DE",38.463751,-75.15642
"1134","21801",1,"Salisbury","MD",38.369675,-75.61214
"1135","21811",1,"Berlin","MD",38.343166,-75.19082
"1136","21817",6,"Crisfield","MD",37.985297,-75.84597
"1137","21821",3,"Deal Island","MD",38.158615,-75.93147
"1138","21822",1,"Eden","MD",38.284622,-75.64771
"1139","21824",2,"Ewell","MD",37.991177,-76.02374
"1140","21838",3,"Marion Station","MD",38.018482,-75.7389
"1141","21841",1,"Newark","MD",38.248485,-75.29106
"1142","21842",2,"Ocean City","MD",38.385457,-75.07153
"1143","21849",1,"Parsonsburg","MD",38.363057,-75.45574
"1144","21851",2,"Pocomoke City","MD",38.069322,-75.54811
"1145","21853",3,"Princess Anne","MD",38.205272,-75.70169
"1146","21866",1,"Tylerton","MD",37.967803,-76.02337
"1147","21867",1,"Upper Fairmount","MD",38.111688,-75.79242
"1148","21871",2,"Westover","MD",38.100727,-75.7115
"1149","23303",1,"Atlantic","VA",37.892445,-75.51107
"1150","23306",1,"Belle Haven","VA",37.560093,-75.86182
"1151","23308",1,"Bloxom","VA",37.828492,-75.61896
"1152","23310",1,"Cape Charles","VA",37.26252,-75.97104
"1153","23336",1,"Chincoteague Island","VA",37.934673,-75.3678
"1154","23347",1,"Eastville","VA",37.353286,-75.94203
"1155","23356",1,"Greenbackville","VA",37.999025,-75.41634
"1156","23359",1,"Hallwood","VA",37.876357,-75.59686
"1157","23398",1,"Jamesville","VA",37.534336,-75.877052
"1158","23415",1,"New Church","VA",37.973042,-75.53045
"1159","23417",1,"Onancock","VA",37.70973,-75.76272
"1160","23420",1,"Painter","VA",37.589068,-75.79947
"1161","23421",1,"Parksley","VA",37.780966,-75.64895
"1162","23426",1,"Sanford","VA",37.93359,-75.67692
"1163","23427",1,"Saxis","VA",37.92358,-75.72178
"1164","23442",1,"Temperanceville","VA",37.887538,-75.53645
"1165","23488",1,"Withams","VA",37.952168,-75.59681
"1166","24910",1,"Alderson","WV",37.731717,-80.65942
"1167","25259",1,"Looneyville","WV",38.679327,-81.27334
"1168","25276",1,"Spencer","WV",38.780168,-81.34244
"1169","26288",1,"Webster Springs","WV",38.484777,-80.38023
"1170","27306",1,"Mount Gilead","NC",35.227919,-79.99741
"1171","27312",1,"Pittsboro","NC",35.756091,-79.17848
"1172","27371",1,"Troy","NC",35.382213,-79.92418
"1173","27510",1,"Carrboro","NC",35.912489,-79.08144
"1174","27514",1,"Chapel Hill","NC",35.915083,-79.02939
"1175","27516",1,"Chapel Hill","NC",35.912786,-79.10931
"1176","27517",1,"Chapel Hill","NC",35.892359,-79.020849
"1177","27707",1,"Durham","NC",35.963994,-78.93602
"1178","27943",1,"Hatteras","NC",35.218342,-75.68792
"1179","27948",1,"Kill Devil Hills","NC",36.022242,-75.67686
"1180","27949",1,"Kitty Hawk","NC",36.115899,-75.72772
"1181","27968",1,"Rodanthe","NC",35.661979,-75.47741
"1182","28001",1,"Albemarle","NC",35.351477,-80.19879
"1183","28025",1,"Concord","NC",35.400407,-80.56574
"1184","28037",1,"Denver","NC",35.501448,-81.00412
"1185","28092",1,"Lincolnton","NC",35.473447,-81.24094
"1186","28124",1,"Mount Pleasant","NC",35.407499,-80.41228
"1187","28128",1,"Norwood","NC",35.228831,-80.15214
"1188","28140",1,NA,NA,NA,NA
"1189","28168",2,"Vale","NC",35.545918,-81.42942
"1190","28601",2,"Hickory","NC",35.759932,-81.33012
"1191","28602",1,"Hickory","NC",35.70701,-81.3534
"1192","28607",1,"Boone","NC",36.21277,-81.66255
"1193","28610",1,"Claremont","NC",35.725163,-81.14279
"1194","28611",1,"Collettsville","NC",36.009373,-81.73139
"1195","28613",1,"Conover","NC",35.720227,-81.21466
"1196","28625",1,"Statesville","NC",35.840579,-80.87988
"1197","28645",1,"Lenoir","NC",35.934783,-81.54476
"1198","28655",1,"Morganton","NC",35.742752,-81.71625
"1199","28657",1,"Newland","NC",36.049348,-81.94286
"1200","28658",1,"Newton","NC",35.653437,-81.23443
"1201","28692",1,"Vilas","NC",36.268944,-81.77819
